Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-01,2015,01,01,NA,3.1,NA,-9.2,NA,-3.1,NA,21.1,NA,0.0,NA,0.0,NA,2.6,NA,2.6,NA,8,NA,5,NA,41,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-02,2015,01,02,NA,-9.2,NA,-26.5,NA,-17.9,NA,35.9,NA,0.0,NA,0.0,NA,5.8,NA,5.8,NA,13,NA,5,NA,37,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-03,2015,01,03,NA,-20.0,NA,-31.8,NA,-25.9,NA,43.9,NA,0.0,NA,0.0,NA,0.6,NA,0.6,NA,17,NA,1,NA,32,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-04,2015,01,04,NA,-24.0,NA,-35.8,NA,-29.9,NA,47.9,NA,0.0,NA,0.0,NA,0.0,T,0.0,NA,18,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-05,2015,01,05,NA,-20.8,NA,-28.4,NA,-24.6,NA,42.6,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,18,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-06,2015,01,06,NA,-17.1,NA,-23.2,NA,-20.2,NA,38.2,NA,0.0,NA,0.0,NA,0.8,NA,0.8,NA,18,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-07,2015,01,07,NA,-7.4,NA,-21.1,NA,-14.3,NA,32.3,NA,0.0,NA,0.0,NA,0.4,NA,0.4,NA,19,NA,34,NA,67,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-08,2015,01,08,NA,-12.4,NA,-30.2,NA,-21.3,NA,39.3,NA,0.0,NA,0.0,NA,0.2,NA,0.2,NA,17,NA,33,NA,65,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-09,2015,01,09,NA,-16.2,NA,-31.0,NA,-23.6,NA,41.6,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,17,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-10,2015,01,10,NA,-14.5,NA,-18.2,NA,-16.4,NA,34.4,NA,0.0,NA,0.0,NA,2.6,NA,1.8,NA,18,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-11,2015,01,11,NA,-16.1,NA,-28.5,NA,-22.3,NA,40.3,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,20,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-12,2015,01,12,NA,-8.7,NA,-22.4,NA,-15.6,NA,33.6,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,20,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-13,2015,01,13,NA,3.2,NA,-14.0,NA,-5.4,NA,23.4,NA,0.0,NA,0.0,T,0.0,NA,0.0,T,20,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-14,2015,01,14,NA,4.5,NA,-5.3,NA,-0.4,NA,18.4,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,20,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-15,2015,01,15,NA,-2.9,NA,-11.1,NA,-7.0,NA,25.0,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,20,NA,15,NA,33,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-16,2015,01,16,NA,4.8,NA,-8.9,NA,-2.1,NA,20.1,NA,0.0,NA,0.2,NA,0.0,T,0.2,NA,20,NA,31,NA,54,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-17,2015,01,17,NA,0.3,NA,-11.1,NA,-5.4,NA,23.4,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,17,NA,27,NA,33,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-18,2015,01,18,NA,-2.8,NA,-13.5,NA,-8.2,NA,26.2,NA,0.0,NA,0.0,T,0.0,NA,0.0,T,17,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-19,2015,01,19,NA,2.2,NA,-4.5,NA,-1.2,NA,19.2,NA,0.0,NA,0.0,T,0.0,NA,0.0,T,17,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-20,2015,01,20,NA,1.2,NA,-12.3,NA,-5.6,NA,23.6,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,17,NA,30,NA,48,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-21,2015,01,21,NA,3.8,NA,-12.4,NA,-4.3,NA,22.3,NA,0.0,NA,0.6,NA,0.0,NA,0.6,NA,17,NA,18,NA,32,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-22,2015,01,22,NA,8.6,NA,-0.6,NA,4.0,NA,14.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,17,NA,25,NA,37,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-23,2015,01,23,NA,4.3,NA,-4.3,NA,0.0,NA,18.0,NA,0.0,NA,1.6,NA,0.0,T,1.6,NA,15,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-24,2015,01,24,NA,6.2,NA,-0.3,NA,3.0,NA,15.0,NA,0.0,NA,0.4,NA,0.0,T,0.4,NA,14,NA,30,NA,48,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-25,2015,01,25,NA,7.9,NA,0.4,NA,4.2,NA,13.8,NA,0.0,NA,0.2,NA,0.0,NA,0.2,NA,7,NA,19,NA,37,NA
