Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-113.58,53.31,EDMONTON INTL A,3012216,2015-05-01 00:00,2015,05,01,00:00,3.6,NA,-2.0,NA,67,NA,4,NA,5,NA,24.1,NA,92.72,NA,NA,NA,NA,NA,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-05-01 01:00,2015,05,01,01:00,0.5,NA,-2.9,NA,78,NA,17,NA,16,NA,24.1,NA,92.70,NA,NA,NA,NA,NA,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-05-01 02:00,2015,05,01,02:00,-1.7,NA,-4.5,NA,81,NA,19,NA,5,NA,24.1,NA,92.66,NA,NA,NA,-4,NA,Mainly Clear
-113.58,53.31,EDMONTON INTL A,3012216,2015-05-01 03:00,2015,05,01,03:00,-2.2,NA,-4.7,NA,83,NA,19,NA,9,NA,24.1,NA,92.67,NA,NA,NA,-6,NA,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-05-01 04:00,2015,05,01,04:00,-0.4,NA,-3.1,NA,82,NA,23,NA,4,NA,24.1,NA,92.63,NA,NA,NA,-2,NA,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-05-01 05:00,2015,05,01,05:00,-0.2,NA,-2.9,NA,82,NA,2,NA,3,NA,24.1,NA,92.61,NA,NA,NA,-1,NA,Cloudy
-113.58,53.31,EDMONTON INTL A,3012216,2015-05-01 06:00,2015,05,01,06:00,3.8,NA,0.0,NA,76,NA,13,NA,5,NA,24.1,NA,92.59,NA,NA,NA,NA,NA,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-05-01 07:00,2015,05,01,07:00,7.5,NA,-0.2,NA,58,NA,12,NA,11,NA,24.1,NA,92.55,NA,NA,NA,NA,NA,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-05-01 08:00,2015,05,01,08:00,8.8,NA,-0.2,NA,53,NA,12,NA,15,NA,24.1,NA,92.49,NA,NA,NA,NA,NA,Mostly Cloudy
-113.58,53.31,EDMONTON INTL A,3012216,2015-05-01 09:00,2015,05,01,09:00,11.0,NA,-2.0,NA,40,NA,15,NA,27,NA,24.1,NA,92.40,NA,NA,NA,NA,NA,NA
