"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 00:00","2015","10","01","00:00","1.7","","1.4","","98","","26","","5","","24.1","","100.77","","","","","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 01:00","2015","10","01","01:00","1.2","","0.9","","98","","24","","4","","24.1","","100.82","","","","","","Clear"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 02:00","2015","10","01","02:00","0.5","","0.5","","100","","28","","5","","24.1","","100.86","","","","","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 03:00","2015","10","01","03:00","0.6","","0.6","","100","","27","","4","","24.1","","100.89","","","","","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 04:00","2015","10","01","04:00","0.1","","0.1","","100","","25","","7","","24.1","","100.94","","","","","","Clear"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 05:00","2015","10","01","05:00","-0.6","","-0.6","","100","","25","","7","","24.1","","100.98","","","","-3","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 06:00","2015","10","01","06:00","-0.4","","-0.4","","100","","25","","7","","24.1","","101.06","","","","-3","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 07:00","2015","10","01","07:00","-0.9","","-0.9","","100","","27","","5","","32.2","","101.11","","","","-3","","Mainly Clear"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 08:00","2015","10","01","08:00","-0.4","","-0.4","","100","","25","","5","","32.2","","101.17","","","","-2","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 09:00","2015","10","01","09:00","3.0","","3.0","","100","","29","","4","","32.2","","101.20","","","","","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 10:00","2015","10","01","10:00","7.8","","6.3","","90","","0","","1","","32.2","","101.25","","","","","","Mainly Clear"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 11:00","2015","10","01","11:00","13.2","","4.9","","57","","10","","19","","32.2","","101.29","","","","","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 12:00","2015","10","01","12:00","12.6","","3.6","","54","","12","","17","","32.2","","101.29","","","","","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 13:00","2015","10","01","13:00","12.9","","2.8","","50","","10","","19","","32.2","","101.29","","","","","","Mainly Clear"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 14:00","2015","10","01","14:00","12.8","","3.3","","52","","12","","20","","32.2","","101.26","","","","","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 15:00","2015","10","01","15:00","12.8","","0.9","","44","","11","","20","","32.2","","101.25","","","","","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 16:00","2015","10","01","16:00","12.1","","2.3","","51","","12","","19","","32.2","","101.23","","","","","","Clear"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 17:00","2015","10","01","17:00","11.4","","1.7","","51","","11","","17","","32.2","","101.24","","","","","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 18:00","2015","10","01","18:00","10.1","","-0.7","","47","","11","","11","","32.2","","101.25","","","","","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 19:00","2015","10","01","19:00","7.5","","1.2","","64","","9","","5","","32.2","","101.27","","","","","","Clear"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 20:00","2015","10","01","20:00","2.5","","0.9","","89","","28","","5","","24.1","","101.29","","","","","","NA"
"-89.32","48.37","THUNDER BAY A","6048262","2015-10-01 21:00","2015","10","01","21:00","1.4","","0.7","","95","","28","","7","","24.1","","101.31","","","","","","NA"
